城市,年月,产成品,工业用电量,人均公园绿地面积,绿化覆盖率,生产用水量,人均日生活用水量,月降水量,月平均气温,常住人口,空气质量综合指数
常州,2020年11月,940.54,400.18,15.7,44.8,14170,257.1,17.4,13.1,527.96,4.56
常州,2020年12月,940.54,400.18,15.7,44.8,14170,257.1,44.2,5.1,527.96,5.8
常州,2021年1月,940.54,449.65,15.7,44.8,14170,257.1,28.3,5,534.96,5.36
常州,2021年2月,940.54,449.65,15.7,44.8,14170,257.1,67.1,6.4,534.96,3.87
常州,2021年3月,940.54,449.65,15.7,44.8,14170,257.1,60.9,13,534.96,4.99
常州,2021年4月,940.54,449.65,15.7,44.8,14170,257.1,41.1,17.4,534.96,4.45
常州,2021年5月,940.54,449.65,15.7,44.8,14170,257.1,69.7,22.1,534.96,4.12
常州,2021年6月,940.54,449.65,15.7,44.8,14170,257.1,382,26,534.96,3.9
常州,2021年7月,940.54,449.65,15.7,44.8,14170,257.1,280.8,29.4,534.96,2.84
常州,2021年8月,940.54,449.65,15.7,44.8,14170,257.1,96.4,28.6,534.96,3.54
常州,2021年9月,940.54,449.65,15.7,44.8,14170,257.1,110.8,25.3,534.96,3.62
常州,2021年10月,940.54,449.65,15.7,44.8,14170,257.1,19.1,19.3,534.96,3.93
常州,2021年11月,940.54,449.65,15.7,44.8,14170,257.1,17.4,13.1,534.96,4.64
常州,2021年12月,940.54,449.65,15.7,44.8,14170,257.1,44.2,5.1,534.96,5.5
常州,2022年1月,940.54,456.39,15.7,44.8,14170,257.1,28.3,5,536.62,5.11
常州,2022年2月,940.54,456.39,15.7,44.8,14170,257.1,67.1,6.4,536.62,3.89
常州,2022年3月,940.54,456.39,15.7,44.8,14170,257.1,60.9,13,536.62,4.12
常州,2022年4月,940.54,456.39,15.7,44.8,14170,257.1,41.1,17.4,536.62,3.95
常州,2022年5月,940.54,456.39,15.7,44.8,14170,257.1,69.7,22.1,536.62,3.86
常州,2022年6月,940.54,456.39,15.7,44.8,14170,257.1,382,26,536.62,3.26
常州,2022年7月,940.54,456.39,15.7,44.8,14170,257.1,280.8,29.4,536.62,2.85
常州,2022年8月,940.54,456.39,15.7,44.8,14170,257.1,96.4,28.6,536.62,3.02
